#ACoolDataset - List of Active
﻿LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION
0000000140-0001-1,CHARLES F MURPHY,,13349 FRIAR STREET,VAN NUYS,91401-2406,13349 FRIAR 91401-2406,151 CALIFORNIA STREET APARTMENT #3,ARCADIA,91006-3648,541600,"Management, scientific, & technical consulting services",2,01/01/1993,,"(34.1857, -118.4243)"
0000000168-0001-5,KIMBERLY FREESH,,10926 OWENSMOUTH AVENUE,CHATSWORTH,91311-1342,10926 OWENSMOUTH 91311-1342,,,,611000,"Educational services (including schools, colleges, & universities)",12,12/01/2000,,"(34.2685, -118.6019)"
0000000195-0001-2,STEPHEN J POTHIER DDS INC,,9720 RESEDA BLVD #2,NORTHRIDGE,91324-5513,9720 RESEDA 91324-5513,,,,621111,Offices of physicians (except mental health specialists),12,08/01/1974,,"(34.2467, -118.536)"
0000000212-0002-6,HENRY ZAMORA,,6730 TUJUNGA AVENUE,NORTH HOLLYWOOD,91606-1910,6730 TUJUNGA 91606-1910,400 ETON DRIVE,BURBANK,91504-2942,531100,Lessors of real estate (including mini warehouses & self-storage units),2,05/01/1997,,"(34.1932, -118.379)"
0000000320-0004-5,PUBLIC STORAGE INC,PUBLIC STORAGE #21012,20140 SHERMAN WAY,WINNETKA,91306-3207,20140 SHERMAN 91306-3207,POST OFFICE BOX #25025,GLENDALE,91221-5025,531100,Lessors of real estate (including mini warehouses & self-storage units),3,11/01/1984,,"(34.201, -118.5721)"
0000000320-0006-1,PUBLIC STORAGE INC,PUBLIC STORAGE #67676,18175 CHATSWORTH STREET,GRANADA HILLS,91344-5613,18175 CHATSWORTH 91344-5613,POST OFFICE BOX #25025,GLENDALE,91221-5025,531100,Lessors of real estate (including mini warehouses & self-storage units),12,07/01/1985,,"(34.2645, -118.5279)"
0000000320-0009-6,PUBLIC STORAGE INC,PUBLIC STORAGE #20124,9350 TOPANGA CANYON BLVD,CHATSWORTH,91311-5728,9350 TOPANGA CANYON 91311-5728,POST OFFICE BOX #25025,GLENDALE,91221-5025,531100,Lessors of real estate (including mini warehouses & self-storage units),12,12/01/1986,,"(34.2399, -118.606)"
0000000320-0027-4,PUBLIC STORAGE INC,PUBLIC STORAGE #20249,4610 VAN NUYS BLVD,SHERMAN OAKS,91403-2915,4610 VAN NUYS 91403-2915,POST OFFICE BOX #25025,GLENDALE,91221-5025,,,4,11/01/1994,,"(34.1549, -118.4486)"
0000000320-0029-1,PUBLIC STORAGE INC,PUBLIC STORAGE #20473,13300 PAXTON STREET,PACOIMA,91331-2339,13300 PAXTON 91331-2339,POST OFFICE BOX #25025,GLENDALE,91221-5025,531100,Lessors of real estate (including mini warehouses & self-storage units),7,07/01/1995,,"(34.2764, -118.4224)"
0000000320-0031-2,PUBLIC STORAGE INC,PUBLIC STORAGE #20435,18440 BURBANK BLVD,TARZANA,91356-2802,18440 BURBANK 91356-2802,POST OFFICE BOX #25025,GLENDALE,91221-5025,531100,Lessors of real estate (including mini warehouses & self-storage units),3,07/14/1995,,"(34.1718, -118.5339)"
0000000320-0032-1,PUBLIC STORAGE INC,PUBLIC STORAGE #20295,12345 VENTURA COURT,STUDIO CITY,91604-2513,12345 VENTURA 91604-2513,POST OFFICE BOX #25025,GLENDALE,91221-5025,453990,"All other miscellaneous store retailers (including tobacco, candle, & trophy shops)",2,08/11/1995,,"(34.1434, -118.4018)"
0000000320-0034-7,PUBLIC STORAGE INC,PUBLIC STORAGE #20630,8200 BALBOA BLVD,VAN NUYS,91406-1137,8200 BALBOA 91406-1137,POST OFFICE BOX #25025,GLENDALE,91221-5025,531100,Lessors of real estate (including mini warehouses & self-storage units),6,10/01/1995,,"(34.2179, -118.5013)"
0000000320-0035-5,PUBLIC STORAGE INC,PUBLIC STORAGE,15350 OXNARD STREET,VAN NUYS,91411-2505,15350 OXNARD 91411-2505,POST OFFICE BOX #25025,GLENDALE,91221-5025,531100,Lessors of real estate (including mini warehouses & self-storage units),4,01/02/2001,,"(34.1793, -118.4678)"
0000000320-0041-0,PUBLIC STORAGE INC,PUBLIC STORAGE # 23048,7880 SAN FERNANDO ROAD,SUN VALLEY,91352-4355,7880 SAN FERNANDO 91352-4355,POST OFFICE BOX #25025,GLENDALE,91221-5025,493100,Warehousing & storage (except leases of mini warehouses & self-storage units),2,06/30/2010,,"(34.2144, -118.3614)"
0000000320-0042-8,PUBLIC STORAGE INC,,15145 ROSCOE BLVD,PANORAMA CITY,91402-4527,15145 ROSCOE 91402-4527,701 WESTERN AVENUE,GLENDALE,91201-2349,493100,Warehousing & storage (except leases of mini warehouses & self-storage units),6,03/31/2010,,"(34.2214, -118.462)"
0000000320-0043-6,PUBLIC STORAGE INC,PUBLIC STORAGE | PUBLUC STORAGE # 23013,8050 DEERING AVENUE,CANOGA PARK,91304-5010,8050 DEERING 91304-5010,POST OFFICE BOX #25025,GLENDALE,91221-5025,531100,Lessors of real estate (including mini warehouses & self-storage units),3,05/05/2010,,"(34.2164, -118.595)"
